,ID,Date,Message,Views,Channel
0,15815,2024-01-02 05:29:28+00:00,"С нового года в Казахстане начнется третий этап всеобщего декларирования, под который подпадают предприниматели; казахстанцы, занятые на вредных производствах, смогут выходить на пенсию раньше и получать специальную выплату, начнется вакцинация против вируса папилломы человека. 

Об этом и других новшествах, которые ожидают казахстанцев в 2024 году – [в традиционном обзоре Власти](https://vlast.kz/obsshestvo/58202-cto-zdet-kazahstan-v-2024-godu.html).",7555,vlastkz
1,15816,2024-01-02 09:43:53+00:00,"В пяти регионах Казахстана вновь [закрыты](https://vlast.kz/novosti/58217-iz-za-nepogody-dorogi-zakryty-v-centre-i-na-vostoke-kazahstana.html) дороги из-за ухудшения метеоусловий. Синоптики предупреждают о сильном ветре в центре и на севере страны, а также в Таразе и районе Алакольских озер.",6781,vlastkz
2,15817,2024-01-03 02:41:28+00:00,"**Токаев **[**считает,**](https://vlast.kz/novosti/58219-tokaev-zaveraet-cto-v-kazahstane-net-pravovyh-osnov-dla-presledovania-grazdan-za-ih-politiceskie-vzglady.html)** что в современном Казахстане нет политического преследования и цензуры и в целом система защиты прав человека за последние годы усилена.

**«Для того чтобы говорить о том, что есть политическое преследование, должна быть цензура, специальные законы и карательные органы. Ничего этого в современном Казахстане нет. Нет ни одного указа, ни одного закона, ни одного нормативного документа, который бы служил основанием для преследования граждан за их политические взгляды», - заявил он.",7786,vlastkz
3,15818,2024-01-03 03:10:13+00:00,"Глава государства Касым-Жомарт Токаев констатировал, что плохая ситуация с ТЭЦ и ЖКХ в стране – «результат многолетней халатности». Модернизация идет, но постепенно. А некоторые активисты,[ по мнению президента](https://vlast.kz/novosti/58221-aktivisty-vydaut-za-tragediu-nebolsoj-pereryv-v-teplosnabzenii-i-seut-paniku-scitaet-tokaev.html), сеют панику в стране. 
«Проблемы в этой сфере возникли не в одночасье. Общеизвестно, что все это проблемы, которые копились годами. 80 %теплоцентров и другого оборудования в регионах полностью изношено. В предыдущие годы инвестиций в коммунальные услуги было недостаточно для удовлетворения потребностей этого сектора. Масла в огонь подливают активисты в социальных сетях, которые пытаются сделать трагедию из небольшого перерыва в обеспечении теплом и сеют панику в стране», - сказал Токаев в интервью газете Egemen Qazaqstan.",7467,vlastkz
4,15819,2024-01-03 04:36:50+00:00,"Начавшиеся два года назад в Мангистау протесты против повышения цен на газ переросли в самые массовые народные выступления в современной истории Казахстана и самые трагичные. Спустя два года после Кровавого января известно о 238 погибших, тысячах пострадавших и сотнях уже осужденных или ожидающих судов по делам, связанным с событиями января.

Напоминаем о [хронике тех событий](https://vlast.kz/obsshestvo/53275-10-dnej-anvara.html), о десяти днях января 2022 года - от начала протестов и до завершения активной фазы событий.",7110,vlastkz
5,15820,2024-01-03 06:03:31+00:00,"Оператор Otau TV[ исключил](https://vlast.kz/novosti/58223-otau-tv-isklucil-iz-linejki-vesania-kanaly-cifrovogo-telesemejstva-pervogo-kanala.html) из своей линейки 10 каналов «цифрового телесемейства Первого канала», в том числе «Первый канал СНГ», сообщили Власти в компании tvcom. Их заменят на другие российские каналы.

«С нового года были приостановлено вещание 10 каналов в связи с принятым решением о расширении списка развлекательного списка премиум», – подтвердили в компании.",7526,vlastkz
6,15821,2024-01-03 08:38:41+00:00,"В 2024 году в Казахстане в пилотном режиме запустят [единую цифровую платформу для библиотек](https://vlast.kz/novosti/58224-u-kazahstancev-poavitsa-edinyj-dostup-vo-vse-biblioteki-strany.html), сообщается на сайте премьер-министра. Для читателей будут внедрены электронные читательские билеты с доступом во все библиотеки, чтобы легче находить необходимую книгу или ее электронную версию.",7249,vlastkz
7,15822,2024-01-03 12:03:42+00:00,"**«Первый канал. Всемирная сеть» **[**опроверг**](https://vlast.kz/novosti/58228-pervyj-kanal-vsemirnaa-sest-oproverg-priciny-otklucenia-rossijskih-kanalov-na-otau-tv.html)** причины отключения российских каналов на Otau TV, представленные компанией tvcom. **

У оператора tvcom имеется задолженность с 2022 года и компании не пришли к консенсусу на 2024 год, заявили представители российского телевидения. 

Сам оператор представил новое объяснение: «постепенное сокращение доли зарубежных каналов с новостным информационным нарративом».",6875,vlastkz
8,15823,2024-01-03 12:19:35+00:00,"Трое активистов движения за политические реформы Oyan, Qazaqstan! Айсултан Кудайберген, Акмарал Джакибаева и Темирлан Енсебек вышли на пикет к монументу независимости в Алматы в поддержку ранее арестованных на 15 суток участников движения Боты Шарипжан и Равката Мухтарова, сообщает Masa.media.

Полиция сначала [задержала](https://vlast.kz/novosti/58229-troe-aktivistov-oyan-qazaqstan-zaderzany-v-almaty.html) Джакибаеву и Кудайбергена, а затем и Енсебека, вышедшего на пикет после них.

«Мы вышли сюда, потому что мы против того, что Боту Шарипжан и Равката Мухтарова осудили на 15 суток, и Жанель Шахан теперь тоже ожидает суда, мы считаем, что у граждан Казахстана в День Независимости есть право вспоминать свою историю, выходить на площадь и говорить об истории своей страны», – сказала журналистам Акмарал Джакибаева незадолго до задержания.",7268,vlastkz
9,15824,2024-01-03 15:37:55+00:00,"В среду суд в Алматы [назначил](https://vlast.kz/novosti/58230-sud-v-almaty-arestoval-aktivistku-oyan-qazaqstan-zanel-sahan-na-15-sutok.html) активистке движения за политические реформы Oyan, Qazaqstan! Жанель Шахан 15 суток ареста за участие в акции памяти жертв Желтоксана, Жанаозена и Кантара в День Независимости.

«Наложить административное взыскание в виде ареста сроком на 15 суток», – сказано в постановлении, озвученном судьей.

Адвокат активистки Жанар Балгабаева подчеркнула, что не видит в действиях своей подзащитной состава преступления, а также попросила суд учесть ее состояние здоровья.",6706,vlastkz
